Algorithm,Dimensions,Duration,Number of Clusters,Hyperparameters,Accuracy,MutualInformation,NormalizedMutualInformation,Homogeneity,Completeness,Modularity,Performance,Coverage
Node2Vec,4,34.2 sec,5,walk_len=20 walk_num=5 p=0.5 q=2,0.46,0.47,0.35,0.41,0.3,0.05,0.21,0.21
Node2Vec,4,34.2 sec,5,walk_len=20 walk_num=5 p=1 q=1,0.44,0.4,0.29,0.35,0.25,0.04,0.21,0.2
Node2Vec,4,34.0 sec,5,walk_len=20 walk_num=5 p=2 q=0.5,0.43,0.4,0.29,0.35,0.25,0.04,0.21,0.2
Node2Vec,4,252.8 sec,5,walk_len=20 walk_num=40 p=0.5 q=2,0.75,0.92,0.74,0.81,0.68,0.08,0.3,0.3
Node2Vec,4,249.3 sec,5,walk_len=20 walk_num=40 p=1 q=1,0.73,0.89,0.7,0.78,0.64,0.06,0.28,0.27
Node2Vec,4,250.5 sec,5,walk_len=20 walk_num=40 p=2 q=0.5,0.72,0.89,0.7,0.78,0.63,0.06,0.27,0.27
Node2Vec,4,497.8 sec,5,walk_len=20 walk_num=80 p=0.5 q=2,0.75,0.94,0.74,0.83,0.68,0.07,0.28,0.28
Node2Vec,4,496.2 sec,5,walk_len=20 walk_num=80 p=1 q=1,0.73,0.92,0.73,0.81,0.66,0.06,0.28,0.27
Node2Vec,4,499.4 sec,5,walk_len=20 walk_num=80 p=2 q=0.5,0.71,0.92,0.72,0.8,0.65,0.06,0.28,0.27
Node2Vec,4,165.0 sec,5,walk_len=100 walk_num=5 p=0.5 q=2,0.69,0.88,0.69,0.78,0.62,0.06,0.26,0.26
Node2Vec,4,166.4 sec,5,walk_len=100 walk_num=5 p=1 q=1,0.72,0.87,0.69,0.76,0.63,0.06,0.29,0.28
Node2Vec,4,164.8 sec,5,walk_len=100 walk_num=5 p=2 q=0.5,0.71,0.85,0.67,0.75,0.61,0.06,0.28,0.27
Node2Vec,4,1330.4 sec,5,walk_len=100 walk_num=40 p=0.5 q=2,0.78,0.96,0.78,0.85,0.72,0.09,0.31,0.31
Node2Vec,4,1332.4 sec,5,walk_len=100 walk_num=40 p=1 q=1,0.77,0.97,0.78,0.85,0.71,0.08,0.3,0.3
Node2Vec,4,1328.8 sec,5,walk_len=100 walk_num=40 p=2 q=0.5,0.75,0.96,0.76,0.84,0.7,0.07,0.29,0.28
Node2Vec,4,2616.2 sec,5,walk_len=100 walk_num=80 p=0.5 q=2,0.79,0.98,0.8,0.86,0.74,0.09,0.32,0.31
Node2Vec,4,2596.7 sec,5,walk_len=100 walk_num=80 p=1 q=1,0.75,0.95,0.76,0.84,0.69,0.07,0.29,0.28
Node2Vec,4,2596.3 sec,5,walk_len=100 walk_num=80 p=2 q=0.5,0.75,0.95,0.75,0.84,0.68,0.07,0.28,0.27
Node2Vec,4,0328.1 sec,5,walk_len=200 walk_num=5 p=0.5 q=2,0.74,0.92,0.73,0.81,0.67,0.07,0.29,0.28
Node2Vec,4,0328.0 sec,5,walk_len=200 walk_num=5 p=1 q=1,0.72,0.9,0.71,0.79,0.64,0.06,0.28,0.27
Node2Vec,4,0328.6 sec,5,walk_len=200 walk_num=5 p=2 q=0.5,0.72,0.92,0.73,0.81,0.66,0.06,0.28,0.27
Node2Vec,4,2608.0 sec,5,walk_len=200 walk_num=40 p=0.5 q=2,0.81,1.0,0.82,0.88,0.77,0.1,0.34,0.33
Node2Vec,4,2613.3 sec,5,walk_len=200 walk_num=40 p=1 q=1,0.74,0.97,0.77,0.85,0.69,0.07,0.28,0.27
Node2Vec,4,2614.9 sec,5,walk_len=200 walk_num=40 p=2 q=0.5,0.76,0.96,0.77,0.85,0.71,0.08,0.3,0.3
Node2Vec,4,5231.7 sec,5,walk_len=200 walk_num=80 p=0.5 q=2,0.75,0.97,0.76,0.85,0.69,0.07,0.28,0.27
Node2Vec,4,5240.3 sec,5,walk_len=200 walk_num=80 p=1 q=1,0.75,0.96,0.76,0.85,0.69,0.07,0.28,0.27
